age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Machine-op-inspct,Husband,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
2.0,Private,165815.0,Some-college,10.0,Never-married,Priv-house-serv,Husband,White,Female,1.0,0.0,2.0,United-States,>50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,HS-grad,9.0,Never-married,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.0,United-States,<=50K
0.0,Private,165858.0,Some-college,9.0,Never-married,Priv-house-serv,Not-in-family,White,Male,1.0,0.0,2.0,United-States,<=50K
